number,value,datetime_start,datetime_complete,duration,params_bias_mutate_power,params_compatibility_disjoint_coefficient,params_compatibility_weight_coefficient,params_conn_add_prob,params_conn_delete_prob,params_node_add_prob,params_node_delete_prob,params_weight_mutate_power,state
0,0.3130933478308287,2020-06-08 00:02:23.242048,2020-06-08 00:22:30.585055,0 days 00:20:07.343007000,0.02357339094590258,0.9644355011231707,0.33118909779215955,0.08731886610369927,0.07285109293119484,0.12942228698931055,0.016590595741927516,0.40240187677252026,COMPLETE
1,0.3141754152260513,2020-06-08 00:22:30.586544,2020-06-08 00:42:34.492495,0 days 00:20:03.905951000,0.17243874277083804,0.8826698009847891,0.46002898717580115,0.039267616200561434,0.0548366025093399,0.07369705370954298,0.038727693408359874,0.6280270097410975,COMPLETE
2,0.3141348489004055,2020-06-08 00:42:34.493983,2020-06-08 01:04:49.274573,0 days 00:22:14.780590000,0.3441776655306351,1.0224158278790048,0.5594496678730998,0.056889777536154505,0.05905670557756167,0.19540122188492404,0.07588423364925129,0.8239364909524358,COMPLETE
3,0.31388871094337,2020-06-08 01:04:49.276062,2020-06-08 01:23:03.292077,0 days 00:18:14.016015000,0.4265993956432921,1.0245653133335377,0.4867454743408871,0.0625644777149661,0.07564822634879224,0.07879011367028779,0.008018079303346835,0.2651334252840553,COMPLETE
4,0.31380102207625454,2020-06-08 01:23:03.293557,2020-06-08 01:42:46.228862,0 days 00:19:42.935305000,0.3528425117166279,0.9195881900923372,0.3440769501720511,0.043484431177575555,0.04479317011501092,0.1989120409596605,0.09138249019040535,0.999680129953405,COMPLETE
5,0.31311503814478525,2020-06-08 01:42:46.230351,2020-06-08 02:01:17.164592,0 days 00:18:30.934241000,0.909371675312918,0.8237407184549671,0.5885492690129527,0.11190587525590227,0.09549621893123363,0.027794121016657777,0.06750190098975485,0.5945510504269494,COMPLETE
6,0.3141122407797627,2020-06-08 02:01:17.166028,2020-06-08 02:19:49.767022,0 days 00:18:32.600994000,0.8057899638332284,0.821733858830897,0.6504059135912834,0.13080965741842138,0.09117650803712164,0.1824938259326025,0.08926581616338804,0.42767701557153215,COMPLETE
7,0.3133483989647552,2020-06-08 02:19:49.768508,2020-06-08 02:38:03.088456,0 days 00:18:13.319948000,0.733099290553867,0.9514402007719782,0.4560804122698291,0.14181812449749737,0.09326598358118048,0.011386207217358071,0.027741582512218792,0.9052710301752619,COMPLETE
8,0.31358210788610813,2020-06-08 02:38:03.089916,2020-06-08 02:56:57.253792,0 days 00:18:54.163876000,0.19643941808784451,0.8985392650560601,0.6084689675536383,0.07165510307596801,0.06633353047186584,0.15144060316726451,0.0753186730024129,0.7279985603429302,COMPLETE
9,0.3137875936151172,2020-06-08 02:56:57.255217,2020-06-08 03:14:51.664778,0 days 00:17:54.409561000,0.7289427013082687,1.0309187697314204,0.6925999838851804,0.15544562789839278,0.06304313905171562,0.03514336438578234,0.07249795991684224,0.2498890284105136,COMPLETE
10,0.3136137378283471,2020-06-08 03:14:51.666698,2020-06-08 03:32:06.421485,0 days 00:17:14.754787000,0.022988093469960585,1.1753331278169676,0.4135373114088197,0.010737540972487816,0.014140376287272508,0.07957823630384922,0.04581972739191614,0.08100524532894315,COMPLETE
11,0.31430235853559807,2020-06-08 03:32:06.422973,2020-06-08 03:50:09.353599,0 days 00:18:02.930626000,0.21284906103699286,1.1128504581226482,0.5426304409653359,0.010490669768908736,0.03835363796269797,0.06338231022944876,0.0412115266546133,0.782855211064544,COMPLETE
12,0.3141533895173249,2020-06-08 03:50:09.354552,2020-06-08 04:08:14.444036,0 days 00:18:05.089484000,0.16528558789110434,1.130867877715,0.5221124726658196,0.010603686869769507,0.036251114241272656,0.06206049383679174,0.04007267387324288,0.6531417352944205,COMPLETE
13,0.31291292989490277,2020-06-08 04:08:14.445849,2020-06-08 04:26:40.954870,0 days 00:18:26.509021000,0.1891836687348022,1.0994016598161873,0.4056149023879576,0.028659766609621964,0.02515062003007951,0.10981513700615664,0.033661430873771075,0.7989343408368016,COMPLETE
14,0.31429213712155046,2020-06-08 04:26:40.956820,2020-06-08 04:44:31.367604,0 days 00:17:50.410784000,0.5865716488244946,1.1014816560806993,0.5319001625884688,0.011457918551338098,0.047213078007111726,0.05252295012675374,0.05864310867211069,0.5927247821046121,COMPLETE
15,0.3133537832784456,2020-06-08 04:44:31.368532,2020-06-08 05:03:04.886064,0 days 00:18:33.517532000,0.581095717836048,1.1002454878615346,0.5441779144317322,0.19796878187422462,0.03553810102683521,0.0482573863999813,0.05711904810634202,0.9661904235117091,COMPLETE
16,0.3138114228805217,2020-06-08 05:03:04.887489,2020-06-08 05:21:17.382557,0 days 00:18:12.495068000,0.56402621514128,1.1951634265869884,0.6150190216074302,0.010694745749688322,0.008947539609201,0.005630899062601814,0.0543073909886501,0.5095857444417546,COMPLETE
17,0.31366528790576664,2020-06-08 05:21:17.383549,2020-06-08 05:39:29.918682,0 days 00:18:12.535133000,0.4805490438685398,1.0738071284726827,0.5048174933084207,0.19231862635958624,0.044911126974520155,0.10346198172125187,0.02220897010919315,0.7860988226764353,COMPLETE
18,0.3122511347503475,2020-06-08 05:39:29.920171,2020-06-08 05:58:02.683971,0 days 00:18:32.763800000,0.6339147095741005,1.1523237888433644,0.6492117643809799,0.015451146109933533,0.02448497732045489,0.05121763042748649,0.06316851962285694,0.5202459711082166,COMPLETE
19,0.3141115115397283,2020-06-08 05:58:02.684900,2020-06-08 06:15:29.937556,0 days 00:17:27.252656000,0.3299003341057254,1.0738931504463107,0.57311642416397,0.08937000976894657,0.042322383164379,0.0282129442368945,0.04723263294914384,0.6877681080121153,COMPLETE
20,0.3156672103265218,2020-06-08 06:15:29.938479,2020-06-08 06:34:15.833246,0 days 00:18:45.894767000,0.8890000366382638,1.1361472404888209,0.40484591913449325,0.029342713304285825,0.022472698032979316,0.0941251405963753,0.007470961267283208,0.8875288224102281,COMPLETE
21,0.31487735725186794,2020-06-08 06:34:15.834670,2020-06-08 06:52:33.609490,0 days 00:18:17.774820000,0.998514611402676,1.1412135947102355,0.3863973029119194,0.02997160086993194,0.02143692246076894,0.09335557001272732,0.005125838390596861,0.8950409095316557,COMPLETE
